LTLA/NHS,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat_mean,NO2_sat_mean,Z-score,p-value,q-value
Exeter,130428,2771,168,129,37,28,22,8.149958293,2.260372598,1.806157999,0.12,3
Fareham,116339,1566,180,155,88,76,49,12.00570636,5.309666634,0.970173751,0.358,1
Fenland,101491,186,187,184,54,53,29,11.59591704,6.073083341,0.931063022,0.37,1
Fermanagh and Omagh,116835,39,81,69,10,9,12,3.757067397,1.129263156,3.724680327,0.004,3
Fife,371910,280,834,224,181,49,22,5.278635519,3.410366631,3.520841956,0.006,3
Flintshire,155593,355,455,292,91,58,20,8.386762349,3.416666627,1.278988237,0.24,3
Forest of Dean,86543,164,115,133,42,49,37,9.431325372,3.8869524,-0.838446552,0.376,4
Forth Valley,306070,113,924,302,215,70,23,4.079381952,2.171367544,5.364260843,0.002,3
Fylde,79770,481,258,323,63,79,24,8.561996207,3.611111164,0.803105312,0.404,3
Gateshead,202508,1421,1003,495,210,104,21,7.51155266,4.868222396,2.195455516,0.052,3
Gedling,117786,981,220,187,99,84,45,11.49720401,7.855950098,1.223703662,0.194,1
Gloucester,129285,3186,403,312,133,103,33,12.28947372,4.279646835,-0.223797539,0.75,4
Gosport,85283,3361,124,145,53,62,43,12.07621839,5.094620413,0.593922479,0.51,1
Grampian,584550,67,1273,218,231,40,18,3.666347599,1.551456584,3.862591085,0.004,3
Gravesham,106385,1074,294,276,73,69,25,12.23501864,8.083999872,-1.498692663,0.098,2
Great Yarmouth,99370,570,278,280,35,35,13,12.56193287,7.306666613,-0.880300356,0.384,2
Greater Glasgow and Clyde,1174980,1031,3943,336,1232,105,31,5.265411693,3.030416667,-5.055360812,0.002,4
Greenwich,286186,6044,699,244,210,73,30,13.96061397,10.13110286,1.757015675,0.058,1
Guildford,147889,546,378,256,76,51,20,11.61993347,6.621555646,-1.281187623,0.172,2
Gwynedd,124178,49,421,339,47,38,11,6.500486329,1.562262625,2.075674251,0.07,3
Hackney,279665,14676,647,231,213,76,33,14.50736847,10.152486,3.652334734,0.002,1
Halton,128432,1623,399,311,91,71,23,11.00912279,6.067485762,0.05721694,0.928,3
Hambleton,91134,69,206,226,58,64,28,8.554173584,4.739500031,-1.652146326,0.124,4
Hammersmith and Fulham,185426,11303,663,358,161,87,24,14.93447375,9.868463585,-2.959657596,0.002,2
Harborough,92499,156,162,175,50,54,31,11.18960728,4.919555505,1.363631057,0.16,1
Haringey,270624,9140,595,220,253,93,43,13.85631578,9.881420565,3.004474687,0.002,1
Harlow,86594,2835,256,296,68,79,27,12.19730103,8.478756787,-0.79739768,0.416,2
Harrogate,160533,123,302,188,124,77,41,8.730220724,4.565619037,-1.327951291,0.206,4
Harrow,250149,4955,1031,412,374,150,36,12.50267338,8.872900923,2.277221876,0.01,1
Hart,96293,447,183,190,41,43,22,11.0907704,5.290500045,-0.900424594,0.374,2
Hartlepool,93242,996,330,354,87,93,26,9.317339886,5.878666878,1.298447015,0.23,3
Hastings,92855,3124,55,59,7,8,13,15.36827884,5.239357633,-0.689257431,0.412,2
Havant,125813,2271,243,193,95,76,39,12.94172933,5.170288044,0.850454921,0.448,1
Havering,257810,2294,711,276,262,102,37,13.06286753,9.376160705,2.299247053,0.008,1
"Herefordshire, County of",192107,88,443,231,91,47,21,9.086730655,3.712229918,1.323366813,0.182,3
Hertsmere,104205,1030,390,374,168,161,43,11.78361243,8.2434362,1.678244276,0.078,1
High Peak,92221,171,214,232,82,89,38,9.774371981,6.612749994,-0.008919969,0.936,1
Highland,321800,10,337,105,107,33,32,2.719816337,0.852192044,-4.597913977,0.002,4
Hillingdon,304824,2633,782,257,294,96,38,13.57032851,8.463816762,2.777830115,0.002,1
Hinckley and Bosworth,112423,378,245,218,74,66,30,11.45548081,5.306933403,1.006736557,0.326,1
Horsham,142217,268,210,148,90,63,43,11.67840104,5.482095242,1.714727495,0.06,1
Hounslow,270782,4835,731,270,210,78,29,14.58428071,9.012516851,3.165630536,0.002,1
Huntingdonshire,177352,194,440,248,78,44,18,11.58906612,6.183025617,-1.234160533,0.21,2
Hyndburn,80815,1106,148,183,45,56,30,9.42685845,5.14425045,-1.62722326,0.124,4
